Metric,Avg,Min,Max,Unit
INT32,500.73,41.0,3437.33,Instr per wave
INT64,26.07,1.0,51.0,Instr per wave
F16-ADD,0.0,0.0,0.0,Instr per wave
F16-MUL,0.0,0.0,0.0,Instr per wave
F16-FMA,0.0,0.0,0.0,Instr per wave
F16-Trans,0.0,0.0,0.0,Instr per wave
F32-ADD,0.0,0.0,0.0,Instr per wave
F32-MUL,1.62,0.0,5.0,Instr per wave
F32-FMA,3.25,0.0,16.0,Instr per wave
F32-Trans,0.62,0.0,1.0,Instr per wave
F64-ADD,0.0,0.0,0.0,Instr per wave
F64-MUL,0.0,0.0,0.0,Instr per wave
F64-FMA,0.0,0.0,0.0,Instr per wave
F64-Trans,0.0,0.0,0.0,Instr per wave
Conversion,3.5,0.0,18.0,Instr per wave
